duration,credit_amount,installment_commitment,residence_since,age
6,1169,4,4,67
48,5951,2,2,22
12,2096,2,3,49
42,7882,2,4,45
24,4870,3,4,53
36,9055,2,4,35
24,2835,3,4,53
36,6948,2,2,35
12,3059,2,4,61
30,5234,4,2,28
12,1295,3,1,25
48,4308,3,4,24
12,1567,1,1,22
24,1199,4,4,60
15,1403,2,4,28
24,1282,4,2,32
24,2424,4,4,53
30,8072,2,3,25
24,12579,4,2,44
24,3430,3,2,31
9,2134,4,4,48
6,2647,2,3,44
10,2241,1,3,48
12,1804,3,4,44
10,2069,2,1,26
6,1374,1,2,36
6,426,4,4,39
12,409,3,3,42
7,2415,3,2,34
60,6836,3,4,63
18,1913,3,3,36
24,4020,2,2,27
18,5866,2,2,30
12,1264,4,4,57
12,1474,4,1,33
45,4746,4,2,25
48,6110,1,3,31
18,2100,4,2,37
10,1225,2,2,37
9,458,4,3,24
30,2333,4,2,30
12,1158,3,1,26
18,6204,2,4,44
30,6187,1,4,24
48,6143,4,4,58
11,1393,4,4,35
36,2299,4,4,39
6,1352,1,2,23
11,7228,1,4,39
12,2073,4,2,28
24,2333,4,2,29
27,5965,1,2,30
12,1262,3,2,25
18,3378,2,1,31
36,2225,4,4,57
6,783,1,2,26
12,6468,2,1,52
36,9566,2,2,31
18,1961,3,2,23
36,6229,4,4,23
9,1391,2,1,27
15,1537,4,4,50
36,1953,4,4,61
48,14421,2,2,25
24,3181,4,4,26
27,5190,4,4,48
12,2171,2,2,29
12,1007,4,1,22
36,1819,4,4,37
36,2394,4,4,25
36,8133,1,2,30
7,730,4,2,46
8,1164,3,4,51
42,5954,2,1,41
36,1977,4,4,40
12,1526,4,4,66
42,3965,4,3,34
11,4771,2,4,51
54,9436,2,2,39
30,3832,2,1,22
24,5943,1,1,44
15,1213,4,3,47
18,1568,3,4,24
24,1755,4,4,58
10,2315,3,4,52
12,1412,4,2,29
18,1295,4,1,27
36,12612,1,4,47
18,2249,4,3,30
12,1108,4,3,28
12,618,4,4,56
12,1409,4,3,54
12,797,4,3,33
24,3617,4,4,20
12,1318,4,4,54
54,15945,3,4,58
12,2012,4,2,61
18,2622,4,4,34
36,2337,4,4,36
20,7057,3,4,36
24,1469,4,4,41
36,2323,4,4,24
6,932,3,2,24
9,1919,4,3,35
12,2445,2,4,26
24,11938,2,3,39
18,6458,2,4,39
12,6078,2,2,32
24,7721,1,2,30
14,1410,1,2,35
6,1449,1,2,31
15,392,4,4,23
18,6260,3,3,28
36,7855,4,2,25
12,1680,3,1,35
48,3578,4,1,47
42,7174,4,3,30
10,2132,2,3,27
33,4281,1,4,23
12,2366,3,3,36
21,1835,3,2,25
24,3868,4,2,41
12,1768,3,2,24
10,781,4,4,63
18,1924,4,3,27
12,2121,4,2,30
12,701,4,2,40
12,639,4,2,30
12,1860,4,2,34
12,3499,3,2,29
